journey_id,latitude,longitude,sequence,altitude,description
2,37.5280,126.9240,1,10.0,여의도 한강공원 시작점
2,37.5285,126.9250,2,10.5,
2,37.5290,126.9260,3,11.0,
2,37.5295,126.9270,4,11.5,여의도 자전거도로
2,37.5300,126.9280,5,12.0,
2,37.5305,126.9290,6,12.5,
2,37.5310,126.9300,7,13.0,여의도 샛강
2,37.5315,126.9310,8,13.5,
2,37.5320,126.9320,9,14.0,
2,37.5325,126.9330,10,14.5,
2,37.5330,126.9340,11,15.0,선유도공원 진입
2,37.5335,126.9350,12,15.5,선유도공원
2,37.5340,126.9360,13,16.0,
2,37.5345,126.9370,14,16.5,
2,37.5350,126.9380,15,17.0,양화대교 방향
2,37.5355,126.9390,16,17.5,
2,37.5360,126.9400,17,18.0,
2,37.5365,126.9410,18,18.5,
2,37.5370,126.9420,19,19.0,양화대교 아래
2,37.5375,126.9430,20,19.5,
2,37.5380,126.9440,21,20.0,
2,37.5385,126.9450,22,20.5,
2,37.5390,126.9460,23,21.0,합정역 방향
2,37.5395,126.9470,24,21.5,
2,37.5400,126.9480,25,22.0,
2,37.5405,126.9490,26,22.5,당산철교 진입
2,37.5410,126.9500,27,23.0,당산철교 아래
2,37.5415,126.9510,28,23.5,
2,37.5420,126.9520,29,24.0,
2,37.5425,126.9530,30,24.5,
2,37.5430,126.9540,31,25.0,성산대교 방향
2,37.5435,126.9550,32,25.5,
2,37.5440,126.9560,33,26.0,
2,37.5445,126.9570,34,26.5,
2,37.5450,126.9580,35,27.0,성산대교 아래
2,37.5455,126.9590,36,27.5,
2,37.5460,126.9600,37,28.0,
2,37.5465,126.9610,38,28.5,
2,37.5470,126.9620,39,29.0,
2,37.5475,126.9630,40,29.5,반포대교 진입
2,37.5480,126.9640,41,30.0,
2,37.5485,126.9650,42,30.5,
2,37.5490,126.9660,43,31.0,
2,37.5495,126.9670,44,31.5,
2,37.5500,126.9680,45,32.0,반포대교 아래
2,37.5505,126.9690,46,32.5,
2,37.5510,126.9700,47,33.0,
2,37.5515,126.9710,48,33.5,
2,37.5520,126.9720,49,34.0,
2,37.5525,126.9730,50,34.5,반포 한강공원 도착
